Year	Equity	Hybrid	Bond	Money	market
1997	0.99	0.92	0.82	0.51
1998	0.95	0.89	0.80	0.50
1999	0.98	0.90	0.77	0.50
2000	0.99	0.89	0.76	0.49
2001	0.99	0.89	0.75	0.46
2002	1.00	0.89	0.73	0.44
2003	1.00	0.90	0.75	0.42
2004	0.95	0.85	0.72	0.42
2005	0.91	0.81	0.69	0.42
2006	0.88	0.78	0.67	0.40
2007	0.86	0.77	0.64	0.38
2008	0.83	0.77	0.61	0.35
2009	0.87	0.84	0.64	0.33
2010	0.83	0.82	0.63	0.24
2011	0.79	0.80	0.62	0.21
2012	0.77	0.79	0.61	0.18
2013	0.74	0.80	0.61	0.17
2014	0.70	0.78	0.57	0.13
2015	0.67	0.76	0.54	0.13
2016	0.63	0.73	0.51	0.20
2017	0.59	0.70	0.48	0.25
2018	0.55	0.66	0.48	0.26